rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_samples_leaf,params,split0_test_score,split0_train_score
1,0.729757085020243,0.0,0.9407744874715261,0.0,1.1967976093292236,0.0,0.008975982666015625,0.0,0.1,20,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 20}",0.729757085020243,0.9407744874715261
2,0.7257085020242915,0.0,0.7866362946089599,0.0,1.3872876167297363,0.0,0.007977724075317383,0.0,0.01,20,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 20}",0.7257085020242915,0.7866362946089599
3,0.7236842105263158,0.0,0.791698304226778,0.0,1.608694076538086,0.0,0.008975982666015625,0.0,0.01,1,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 1}",0.7236842105263158,0.791698304226778
3,0.7236842105263158,0.0,0.9521640091116174,0.0,1.4969935417175293,0.0,0.0069811344146728516,0.0,0.1,1,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 1}",0.7236842105263158,0.9521640091116174
5,0.7226720647773279,0.0,0.8939508985067072,0.0,0.9465084075927734,0.0,0.010970115661621094,0.0,0.1,100,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 100}",0.7226720647773279,0.8939508985067072
6,0.7206477732793523,0.0,0.7580359402682865,0.0,1.010296106338501,0.0,0.009974479675292969,0.0,0.01,100,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 100}",0.7206477732793523,0.7580359402682865
7,0.7196356275303644,0.0,0.7676537585421412,0.0,1.9118828773498535,0.0,0.00997304916381836,0.0,0.001,1,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 1}",0.7196356275303644,0.7676537585421412
8,0.7095141700404858,0.0,0.7562642369020501,0.0,1.8021774291992188,0.0,0.013962984085083008,0.0,0.001,20,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 20}",0.7095141700404858,0.7562642369020501
9,0.7064777327935222,0.0,0.7403189066059226,0.0,1.0442042350769043,0.0,0.007979393005371094,0.0,0.001,100,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 100}",0.7064777327935222,0.7403189066059226
10,0.6852226720647774,0.0,1.0,0.0,0.8138225078582764,0.0,0.009973287582397461,0.0,1,100,"{'model__learning_rate': 1, 'model__min_samples_leaf': 100}",0.6852226720647774,1.0
11,0.6781376518218624,0.0,1.0,0.0,1.1389522552490234,0.0,0.007978677749633789,0.0,1,20,"{'model__learning_rate': 1, 'model__min_samples_leaf': 20}",0.6781376518218624,1.0
12,0.6761133603238867,0.0,1.0,0.0,1.353419303894043,0.0,0.007978439331054688,0.0,1,1,"{'model__learning_rate': 1, 'model__min_samples_leaf': 1}",0.6761133603238867,1.0
13,0.5151821862348178,0.0,0.49076183244748167,0.0,0.06482601165771484,0.0,0.003989696502685547,0.0,10,100,"{'model__learning_rate': 10, 'model__min_samples_leaf': 100}",0.5151821862348178,0.49076183244748167
14,0.4848178137651822,0.0,0.5092381675525184,0.0,0.06682133674621582,0.0,0.0029916763305664062,0.0,10,1,"{'model__learning_rate': 10, 'model__min_samples_leaf': 1}",0.4848178137651822,0.5092381675525184
14,0.4848178137651822,0.0,0.5092381675525184,0.0,0.07280421257019043,0.0,0.003989696502685547,0.0,10,20,"{'model__learning_rate': 10, 'model__min_samples_leaf': 20}",0.4848178137651822,0.5092381675525184
